tld	verdict	host	needle	reason
sener	accept	whois.nic.rwe	domain not found	needle verified against both probes
seven	reject	whois.nic.seven		free probe: back end resting after repeated failures
sew	accept	whois.nic.sew	domain not found	needle verified against both probes
sfr	accept	whois.nic.sfr	the queried object does not exist	needle verified against both probes
shangrila	accept	whois.nic.shangrila	domain not found	needle verified against both probes
sharp	reject	whois.nic.gmo		identical answer for a free and a registered name
shell	no-server			IANA lists no WHOIS server for this TLD
shia	no-server			IANA lists no WHOIS server for this TLD
shouji	accept	whois.teleinfo.cn	no matching record	needle verified against both probes
silk	no-server			IANA lists no WHOIS server for this TLD
sina	accept	whois.nic.sina	the queried object does not exist	needle verified against both probes
sj	no-server			IANA lists no WHOIS server for this TLD
skin	accept	whois.nic.skin	the queried object does not exist	needle verified against both probes
sky	no-server			IANA lists no WHOIS server for this TLD
skype	no-server			IANA lists no WHOIS server for this TLD
sl	no-server			IANA lists no WHOIS server for this TLD
sling	accept	whois.nic.sling	is available for registration	needle verified against both probes
sm	accept	whois.nic.sm	no entries found	needle verified against both probes
smart	accept	whois.nic.smart	the queried object does not exist	needle verified against both probes
smile	no-server			IANA lists no WHOIS server for this TLD
sn	accept	whois.nic.sn	not found	needle verified against both probes
sncf	accept	whois.nic.sncf	not found	needle verified against both probes
so	accept	whois.nic.so	the queried object does not exist	needle verified against both probes
softbank	reject	whois.nic.softbank		identical answer for a free and a registered name
sohu	no-server			IANA lists no WHOIS server for this TLD
song	accept	whois.nic.song	domain not found	needle verified against both probes
sony	reject	whois.nic.sony		identical answer for a free and a registered name
spa	accept	whois.nic.spa	domain not found	needle verified against both probes
sport	accept	whois.nic.sport	the queried object does not exist	needle verified against both probes
spot	no-server			IANA lists no WHOIS server for this TLD
sr	accept	whois.sr	no object found	needle verified against both probes
ss	accept	whois.nic.ss	the queried object does not exist	needle verified against both probes
stada	accept	whois.nic.stada	domain not found	needle verified against both probes
staples	no-server			IANA lists no WHOIS server for this TLD
star	accept	whois.nic.star	domain not found	needle verified against both probes
statebank	accept	whois.nic.statebank	domain not found	needle verified against both probes
statefarm	no-server			IANA lists no WHOIS server for this TLD
stc	accept	whois.nic.stc	the queried object does not exist	needle verified against both probes
stcgroup	accept	whois.nic.stcgroup	the queried object does not exist	needle verified against both probes
stockholm	accept	whois.nic.stockholm	domain not found	needle verified against both probes
storage	accept	whois.nic.storage	the queried object does not exist	needle verified against both probes
surf	reject	whois.nic.surf		free probe: back end resting after repeated failures
suzuki	reject	whois.nic.suzuki		identical answer for a free and a registered name
sv	no-server			IANA lists no WHOIS server for this TLD
swatch	no-server			IANA lists no WHOIS server for this TLD
sy	accept	whois.tld.sy	no object found	needle verified against both probes
sz	no-server			IANA lists no WHOIS server for this TLD
tab	reject	whois.nic.tab		free probe: back end resting after repeated failures
taipei	reject	whois.nic.taipei		free probe: back end resting after repeated failures
talk	no-server			IANA lists no WHOIS server for this TLD
taobao	accept	whois.nic.taobao	domain not found	needle verified against both probes
target	no-server			IANA lists no WHOIS server for this TLD
tatamotors	accept	whois.nic.tatamotors	domain not found	needle verified against both probes
tatar	accept	whois.nic.tatar	the queried object does not exist	needle verified against both probes
tci	no-server			IANA lists no WHOIS server for this TLD
td	accept	whois.nic.td	the queried object does not exist	needle verified against both probes
tdk	reject	whois.nic.tdk		free probe: back end resting after repeated failures
temasek	accept	whois.nic.temasek	domain not found	needle verified against both probes
teva	reject	whois.nic.teva		free probe: back end resting after repeated failures
tg	accept	whois.nic.tg	no object found	needle verified against both probes
thd	accept	whois.nic.thd	domain not found	needle verified against both probes
tiaa	accept	whois.nic.tiaa	domain not found	needle verified against both probes
tickets	accept	whois.nic.tickets	the queried object does not exist	needle verified against both probes
tirol	accept	whois.nic.tirol	no information was found matching that query	needle verified against both probes
tjmaxx	no-server			IANA lists no WHOIS server for this TLD
tjx	no-server			IANA lists no WHOIS server for this TLD
tkmaxx	no-server			IANA lists no WHOIS server for this TLD
tl	accept	whois.nic.tl	the queried object does not exist	needle verified against both probes
tmall	accept	whois.nic.tmall	domain not found	needle verified against both probes
tn	accept	whois.ati.tn	no object found	needle verified against both probes
tokyo	reject	whois.nic.tokyo		identical answer for a free and a registered name
toray	reject	whois.nic.toray		identical answer for a free and a registered name
toshiba	reject	whois.nic.toshiba		identical answer for a free and a registered name
total	accept	whois.nic.total	not found	needle verified against both probes
toyota	reject	whois.nic.toyota		identical answer for a free and a registered name
trading	no-server			IANA lists no WHOIS server for this TLD
