tld	verdict	host	needle	reason
aaa	accept	whois.nic.aaa	no data found	needle verified against both probes
aarp	accept	whois.nic.aarp	no data found	needle verified against both probes
abb	accept	whois.nic.abb	domain not found	needle verified against both probes
abbott	accept	whois.nic.abbott	domain not found	needle verified against both probes
abbvie	no-server			IANA lists no WHOIS server for this TLD
abc	accept	whois.nic.abc	domain not found	needle verified against both probes
able	no-server			IANA lists no WHOIS server for this TLD
abogado	accept	whois.nic.abogado	no data found	needle verified against both probes
abudhabi	accept	whois.nic.abudhabi	no data found	needle verified against both probes
accenture	accept	whois.nic.accenture	domain not found	needle verified against both probes
aco	reject	whois.nic.aco		free probe: resolving whois.nic.aco: [Errno 8] nodename nor servname provided, or not known
ads	no-server			IANA lists no WHOIS server for this TLD
aeg	accept	whois.nic.aeg	domain not found	needle verified against both probes
aetna	no-server			IANA lists no WHOIS server for this TLD
afl	accept	whois.nic.afl	no data found	needle verified against both probes
africa	accept	whois.nic.africa	no information was found matching that query	needle verified against both probes
agakhan	accept	whois.nic.agakhan	domain not found	needle verified against both probes
ai	accept	whois.nic.ai	domain not found	needle verified against both probes
aig	no-server			IANA lists no WHOIS server for this TLD
airbus	accept	whois.nic.airbus	domain not found	needle verified against both probes
airtel	accept	whois.nic.airtel	no data found	needle verified against both probes
akdn	accept	whois.nic.akdn	domain not found	needle verified against both probes
al	no-server			IANA lists no WHOIS server for this TLD
alibaba	accept	whois.nic.alibaba	domain not found	needle verified against both probes
alipay	accept	whois.nic.alipay	domain not found	needle verified against both probes
allfinanz	accept	whois.nic.allfinanz	the queried object does not exist	needle verified against both probes
allstate	accept	whois.nic.allstate	domain not found	needle verified against both probes
ally	accept	whois.nic.ally	no data found	needle verified against both probes
alsace	accept	whois.nic.alsace	not found	needle verified against both probes
alstom	accept	whois.nic.alstom	the queried object does not exist	needle verified against both probes
amazon	no-server			IANA lists no WHOIS server for this TLD
americanexpress	no-server			IANA lists no WHOIS server for this TLD
americanfamily	accept	whois.nic.americanfamily	no data found	needle verified against both probes
amex	no-server			IANA lists no WHOIS server for this TLD
amfam	accept	whois.nic.amfam	no data found	needle verified against both probes
amica	no-server			IANA lists no WHOIS server for this TLD
amsterdam	accept	whois.nic.amsterdam	domain status: free	needle verified against both probes
analytics	no-server			IANA lists no WHOIS server for this TLD
android	no-server			IANA lists no WHOIS server for this TLD
anquan	reject	whois.teleinfo.cn		registered nic.anquan reads as UNKNOWN (empty whois response)
anz	accept	whois.nic.anz	no data found	needle verified against both probes
ao	no-server			IANA lists no WHOIS server for this TLD
aol	accept	whois.nic.aol	domain not found	needle verified against both probes
app	no-server			IANA lists no WHOIS server for this TLD
apple	no-server			IANA lists no WHOIS server for this TLD
aq	no-server			IANA lists no WHOIS server for this TLD
aquarelle	accept	whois.nic.aquarelle	the queried object does not exist	needle verified against both probes
arab	accept	whois.nic.arab	no data found	needle verified against both probes
aramco	no-server			IANA lists no WHOIS server for this TLD
arte	accept	whois.nic.arte	domain not found	needle verified against both probes
asda	accept	whois.nic.asda	domain not found	needle verified against both probes
athleta	no-server			IANA lists no WHOIS server for this TLD
audi	accept	whois.nic.audi	domain not found	needle verified against both probes
audible	no-server			IANA lists no WHOIS server for this TLD
auspost	accept	whois.nic.auspost	no data found	needle verified against both probes
author	no-server			IANA lists no WHOIS server for this TLD
auto	accept	whois.nic.auto	the queried object does not exist	needle verified against both probes
autos	accept	whois.nic.autos	the queried object does not exist	needle verified against both probes
aw	accept	whois.nic.aw	is free	needle verified against both probes
aws	no-server			IANA lists no WHOIS server for this TLD
axa	no-server			IANA lists no WHOIS server for this TLD
az	no-server			IANA lists no WHOIS server for this TLD
azure	no-server			IANA lists no WHOIS server for this TLD
ba	no-server			IANA lists no WHOIS server for this TLD
baby	accept	whois.nic.baby	the queried object does not exist	needle verified against both probes
baidu	accept	whois.gtld.knet.cn	the queried object does not exist	needle verified against both probes
banamex	no-server			IANA lists no WHOIS server for this TLD
bank	accept	whois.nic.bank	no data found	needle verified against both probes
barcelona	accept	whois.nic.barcelona	the queried object does not exist	needle verified against both probes
barclaycard	accept	whois.nic.barclaycard	domain not found	needle verified against both probes
barclays	accept	whois.nic.barclays	domain not found	needle verified against both probes
barefoot	accept	whois.nic.barefoot	domain not found	needle verified against both probes
baseball	accept	whois.nic.baseball	no data found	needle verified against both probes
basketball	accept	whois.nic.basketball	no data found	needle verified against both probes
bauhaus	accept	whois.nic.bauhaus	the queried object does not exist	needle verified against both probes
bayern	accept	whois.nic.bayern	the queried object does not exist	needle verified against both probes
bb	no-server			IANA lists no WHOIS server for this TLD
bbc	reject	whois.nic.bbc		free probe: whois.nic.bbc: timed out
bbt	accept	whois.nic.bbt	domain not found	needle verified against both probes
bbva	no-server			IANA lists no WHOIS server for this TLD
bcg	accept	whois.nic.bcg	domain not found	needle verified against both probes
bcn	accept	whois.nic.bcn	the queried object does not exist	needle verified against both probes
beats	accept	whois.nic.beats	domain not found	needle verified against both probes
beauty	accept	whois.nic.beauty	the queried object does not exist	needle verified against both probes
beer	accept	whois.nic.beer	no data found	needle verified against both probes
bestbuy	accept	whois.nic.bestbuy	domain not found	needle verified against both probes
bf	accept	whois.registre.bf	no object found	needle verified against both probes
bg	reject	whois.register.bg		registered nic.bg reads as UNKNOWN (whois answered for nic.bg (nic.bg))
bh	accept	whois.nic.bh	is available for registration	needle verified against both probes
bharti	accept	whois.nic.bharti	no data found	needle verified against both probes
bi	accept	whois1.nic.bi	no object found	needle verified against both probes
bible	accept	whois.nic.bible	no data found	needle verified against both probes
bing	no-server			IANA lists no WHOIS server for this TLD
bj	accept	whois.nic.bj	no object found	needle verified against both probes
blockbuster	accept	whois.nic.blockbuster	is available for registration	needle verified against both probes
bloomberg	accept	whois.nic.bloomberg	domain not found	needle verified against both probes
bm	accept	whois.nic.bm	domain not found	needle verified against both probes
bms	accept	whois.nic.bms	domain not found	needle verified against both probes
bmw	accept	whois.nic.bmw	the queried object does not exist	needle verified against both probes
bn	accept	whois.bnnic.bn	domain not found	needle verified against both probes
bnpparibas	accept	whois.nic.bnpparibas	domain not found	needle verified against both probes
bo	reject	whois.nic.bo		free probe: whois.nic.bo: [Errno 61] Connection refused
boats	accept	whois.nic.boats	the queried object does not exist	needle verified against both probes
boehringer	accept	whois.nic.boehringer	domain not found	needle verified against both probes
bofa	accept	whois.nic.bofa	domain not found	needle verified against both probes
bom	no-server			IANA lists no WHOIS server for this TLD
bond	accept	whois.nic.bond	the queried object does not exist	needle verified against both probes
boo	no-server			IANA lists no WHOIS server for this TLD
book	no-server			IANA lists no WHOIS server for this TLD
booking	no-server			IANA lists no WHOIS server for this TLD
bosch	accept	whois.nic.bosch	domain not found	needle verified against both probes
bostik	accept	whois.nic.bostik	not found	needle verified against both probes
boston	accept	whois.nic.boston	no data found	needle verified against both probes
bot	no-server			IANA lists no WHOIS server for this TLD
box	accept	whois.nic.box	the queried object does not exist	needle verified against both probes
bradesco	accept	whois.nic.bradesco	domain not found	needle verified against both probes
bridgestone	reject	whois.nic.bridgestone		identical answer for a free and a registered name
broadway	no-server			IANA lists no WHOIS server for this TLD
broker	no-server			IANA lists no WHOIS server for this TLD
brother	reject	whois.nic.brother		identical answer for a free and a registered name
brussels	no-server			IANA lists no WHOIS server for this TLD
bs	no-server			IANA lists no WHOIS server for this TLD
bt	no-server			IANA lists no WHOIS server for this TLD
buy	no-server			IANA lists no WHOIS server for this TLD
bv	no-server			IANA lists no WHOIS server for this TLD
bw	reject	whois.nic.net.bw		unregistered afb8qnkygjvc1v74.bw reads as TAKEN (-)
bzh	accept	whois.nic.bzh	not found	needle verified against both probes
cal	no-server			IANA lists no WHOIS server for this TLD
call	no-server			IANA lists no WHOIS server for this TLD
calvinklein	no-server			IANA lists no WHOIS server for this TLD
canon	reject	whois.nic.canon		identical answer for a free and a registered name
capitalone	accept	whois.nic.capitalone	no data found	needle verified against both probes
car	accept	whois.nic.car	the queried object does not exist	needle verified against both probes
caravan	no-server			IANA lists no WHOIS server for this TLD
career	no-server			IANA lists no WHOIS server for this TLD
cars	accept	whois.nic.cars	the queried object does not exist	needle verified against both probes
casa	accept	whois.nic.casa	no data found	needle verified against both probes
case	accept	whois.nic.case	the queried object does not exist	needle verified against both probes
catholic	accept	whois.nic.catholic	no data found	needle verified against both probes
cba	accept	whois.nic.cba	no data found	needle verified against both probes
cbn	no-server			IANA lists no WHOIS server for this TLD
cbre	no-server			IANA lists no WHOIS server for this TLD
cern	accept	whois.nic.cern	domain not found	needle verified against both probes
cf	reject	whois.dot.cf		free probe: whois.dot.cf: [Errno 61] Connection refused
cfa	accept	whois.nic.cfa	domain not found	needle verified against both probes
cfd	accept	whois.nic.cfd	the queried object does not exist	needle verified against both probes
cg	no-server			IANA lists no WHOIS server for this TLD
chanel	accept	whois.nic.chanel	domain not found	needle verified against both probes
channel	no-server			IANA lists no WHOIS server for this TLD
charity	accept	whois.nic.charity	domain not found	needle verified against both probes
chase	no-server			IANA lists no WHOIS server for this TLD
chintai	accept	whois.nic.chintai	no data found	needle verified against both probes
chrome	no-server			IANA lists no WHOIS server for this TLD
ci	accept	whois.nic.ci	the queried object does not exist	needle verified against both probes
cipriani	accept	whois.nic.cipriani	domain not found	needle verified against both probes
circle	no-server			IANA lists no WHOIS server for this TLD
cisco	no-server			IANA lists no WHOIS server for this TLD
citadel	accept	whois.nic.citadel	domain not found	needle verified against both probes
citi	no-server			IANA lists no WHOIS server for this TLD
citic	no-server			IANA lists no WHOIS server for this TLD
ck	no-server			IANA lists no WHOIS server for this TLD
clinique	accept	whois.nic.clinique	domain not found	needle verified against both probes
clubmed	accept	whois.nic.clubmed	domain not found	needle verified against both probes
cologne	accept	whois.ryce-rsp.com	no information was found matching that query	needle verified against both probes
commbank	accept	whois.nic.commbank	no data found	needle verified against both probes
compare	accept	whois.nic.compare	no data found	needle verified against both probes
comsec	accept	whois.nic.comsec	no match for	needle verified against both probes
contact	no-server			IANA lists no WHOIS server for this TLD
cooking	accept	whois.nic.cooking	no data found	needle verified against both probes
corsica	accept	whois.nic.corsica	not found	needle verified against both probes
country	accept	whois.registry.click	is available for registration	needle verified against both probes
coupon	accept	whois.nic.coupon	domain not found	needle verified against both probes
cpa	accept	whois.nic.cpa	no data found	needle verified against both probes
cr	accept	whois.nic.cr	no entries found	needle verified against both probes
creditunion	accept	whois.nic.creditunion	is available for registration	needle verified against both probes
crown	accept	whois.nic.crown	not found	needle verified against both probes
crs	accept	whois.nic.crs	domain not found	needle verified against both probes
cruise	accept	whois.nic.cruise	domain not found	needle verified against both probes
cu	no-server			IANA lists no WHOIS server for this TLD
cuisinella	accept	whois.nic.cuisinella	no data found	needle verified against both probes
cv	accept	whois.nic.cv	the queried object does not exist	needle verified against both probes
cw	no-server			IANA lists no WHOIS server for this TLD
cy	no-server			IANA lists no WHOIS server for this TLD
cyou	accept	whois.nic.cyou	the queried object does not exist	needle verified against both probes
dad	no-server			IANA lists no WHOIS server for this TLD
data	accept	whois.nic.data	is available for registration	needle verified against both probes
datsun	reject	whois.nic.gmo		identical answer for a free and a registered name
day	no-server			IANA lists no WHOIS server for this TLD
dclk	no-server			IANA lists no WHOIS server for this TLD
dds	accept	whois.nic.dds	no data found	needle verified against both probes
deal	no-server			IANA lists no WHOIS server for this TLD
dealer	accept	whois.nic.dealer	the queried object does not exist	needle verified against both probes
dell	no-server			IANA lists no WHOIS server for this TLD
deloitte	accept	whois.nic.deloitte	the queried object does not exist	needle verified against both probes
delta	accept	whois.nic.delta	domain not found	needle verified against both probes
dhl	no-server			IANA lists no WHOIS server for this TLD
discover	accept	whois.nic.discover	domain not found	needle verified against both probes
dish	accept	whois.nic.dish	is available for registration	needle verified against both probes
diy	accept	whois.registry.click	is available for registration	needle verified against both probes
dj	no-server			IANA lists no WHOIS server for this TLD
dm	reject	whois.dmdomains.dm		unregistered sybf47407nlsgnhz.dm reads as TAKEN (-)
dnp	reject	whois.nic.dnp		identical answer for a free and a registered name
do	accept	whois.nic.do	no object found	needle verified against both probes
docs	no-server			IANA lists no WHOIS server for this TLD
dot	accept	whois.nic.dot	is available for registration	needle verified against both probes
drive	no-server			IANA lists no WHOIS server for this TLD
dtv	accept	whois.nic.dtv	is available for registration	needle verified against both probes
dubai	accept	whois.nic.dubai	no data found	needle verified against both probes
dupont	no-server			IANA lists no WHOIS server for this TLD
dvag	accept	whois.nic.dvag	the queried object does not exist	needle verified against both probes
dvr	accept	whois.nic.dvr	is available for registration	needle verified against both probes
dz	accept	whois.nic.dz	no match for	needle verified against both probes
eat	no-server			IANA lists no WHOIS server for this TLD
edeka	accept	whois.nic.edeka	domain not found	needle verified against both probes
eg	no-server			IANA lists no WHOIS server for this TLD
emerck	accept	whois.nic.emerck	domain not found	needle verified against both probes
epson	reject	whois.nic.epson		identical answer for a free and a registered name
er	no-server			IANA lists no WHOIS server for this TLD
ericsson	accept	whois.nic.ericsson	domain not found	needle verified against both probes
erni	accept	whois.nic.erni	the queried object does not exist	needle verified against both probes
esq	no-server			IANA lists no WHOIS server for this TLD
et	no-server			IANA lists no WHOIS server for this TLD
eurovision	accept	whois.nic.eurovision	the queried object does not exist	needle verified against both probes
extraspace	accept	whois.nic.extraspace	domain not found	needle verified against both probes
fage	accept	whois.nic.fage	domain not found	needle verified against both probes
fairwinds	no-server			IANA lists no WHOIS server for this TLD
fan	no-server			IANA lists no WHOIS server for this TLD
farmers	no-server			IANA lists no WHOIS server for this TLD
fashion	accept	whois.nic.fashion	no data found	needle verified against both probes
fast	no-server			IANA lists no WHOIS server for this TLD
fedex	accept	whois.nic.fedex	domain not found	needle verified against both probes
ferrari	accept	whois.nic.ferrari	domain not found	needle verified against both probes
ferrero	no-server			IANA lists no WHOIS server for this TLD
fidelity	accept	whois.nic.fidelity	domain not found	needle verified against both probes
fido	accept	whois.nic.fido	domain not found	needle verified against both probes
final	no-server			IANA lists no WHOIS server for this TLD
fire	no-server			IANA lists no WHOIS server for this TLD
firestone	reject	whois.nic.firestone		identical answer for a free and a registered name
firmdale	accept	whois.nic.firmdale	domain not found	needle verified against both probes
fishing	accept	whois.nic.fishing	no data found	needle verified against both probes
fit	accept	whois.nic.fit	no data found	needle verified against both probes
fj	reject	www.whois.fj		free probe: www.whois.fj: [Errno 61] Connection refused
fk	no-server			IANA lists no WHOIS server for this TLD
flickr	no-server			IANA lists no WHOIS server for this TLD
flir	no-server			IANA lists no WHOIS server for this TLD
fly	no-server			IANA lists no WHOIS server for this TLD
foo	no-server			IANA lists no WHOIS server for this TLD
food	accept	whois.registry.click	is available for registration	needle verified against both probes
ford	no-server			IANA lists no WHOIS server for this TLD
forex	no-server			IANA lists no WHOIS server for this TLD
forum	accept	whois.registry.click	is available for registration	needle verified against both probes
fox	accept	whois.nic.fox	no data found	needle verified against both probes
free	no-server			IANA lists no WHOIS server for this TLD
fresenius	accept	whois.nic.fresenius	the queried object does not exist	needle verified against both probes
frl	accept	whois.nic.frl	the queried object does not exist	needle verified against both probes
frogans	accept	whois.nic.frogans	domain not found	needle verified against both probes
frontier	no-server			IANA lists no WHOIS server for this TLD
ftr	no-server			IANA lists no WHOIS server for this TLD
fujitsu	reject	whois.nic.gmo		identical answer for a free and a registered name
ga	no-server			IANA lists no WHOIS server for this TLD
gallo	accept	whois.nic.gallo	domain not found	needle verified against both probes
gallup	accept	whois.nic.gallup	domain not found	needle verified against both probes
gap	no-server			IANA lists no WHOIS server for this TLD
garden	accept	whois.nic.garden	no data found	needle verified against both probes
gay	accept	whois.nic.gay	no data found	needle verified against both probes
gb	no-server			IANA lists no WHOIS server for this TLD
gbiz	no-server			IANA lists no WHOIS server for this TLD
ge	accept	whois.nic.ge	no match for	needle verified against both probes
gea	reject	whois.nic.gea		free probe: resolving whois.nic.gea: [Errno 8] nodename nor servname provided, or not known
gent	accept	whois.nic.gent	the queried object does not exist	needle verified against both probes
genting	accept	whois.nic.genting	domain not found	needle verified against both probes
george	accept	whois.nic.george	no data found	needle verified against both probes
gg	accept	whois.gg	not found	needle verified against both probes
ggee	reject	whois.nic.ggee		identical answer for a free and a registered name
gh	accept	whois.nic.gh	no object found	needle verified against both probes
gi	accept	whois.identitydigital.services	domain not found	needle verified against both probes
giving	accept	whois.nic.giving	domain not found	needle verified against both probes
gl	accept	whois.nic.gl	the queried object does not exist	needle verified against both probes
gle	no-server			IANA lists no WHOIS server for this TLD
globo	no-server			IANA lists no WHOIS server for this TLD
gm	no-server			IANA lists no WHOIS server for this TLD
gmail	no-server			IANA lists no WHOIS server for this TLD
gmbh	no-server			IANA lists no WHOIS server for this TLD
gmo	reject	whois.nic.gmo		identical answer for a free and a registered name
gmx	accept	whois.nic.gmx	the queried object does not exist	needle verified against both probes
gn	accept	whois.ande.gov.gn	the queried object does not exist	needle verified against both probes
godaddy	accept	whois.nic.godaddy	no data found	needle verified against both probes
goldpoint	reject	whois.nic.goldpoint		identical answer for a free and a registered name
goodyear	accept	whois.nic.goodyear	domain not found	needle verified against both probes
goog	no-server			IANA lists no WHOIS server for this TLD
google	no-server			IANA lists no WHOIS server for this TLD
gop	reject	whois.nic.gop		free probe: resolving whois.nic.gop: [Errno 8] nodename nor servname provided, or not known
got	no-server			IANA lists no WHOIS server for this TLD
gp	reject	whois.nic.gp		free probe: whois.nic.gp: timed out
gq	reject	whois.dominio.gq		identical answer for a free and a registered name
gr	no-server			IANA lists no WHOIS server for this TLD
grainger	no-server			IANA lists no WHOIS server for this TLD
grocery	accept	whois.nic.grocery	no data found	needle verified against both probes
group	no-server			IANA lists no WHOIS server for this TLD
gu	no-server			IANA lists no WHOIS server for this TLD
gucci	no-server			IANA lists no WHOIS server for this TLD
guge	no-server			IANA lists no WHOIS server for this TLD
gw	no-server			IANA lists no WHOIS server for this TLD
gy	accept	whois.registry.gy	the queried object does not exist	needle verified against both probes
hair	accept	whois.nic.hair	the queried object does not exist	needle verified against both probes
hamburg	accept	whois.nic.hamburg	the queried object does not exist	needle verified against both probes
hangout	no-server			IANA lists no WHOIS server for this TLD
hbo	no-server			IANA lists no WHOIS server for this TLD
hdfc	accept	whois.nic.hdfc	domain not found	needle verified against both probes
hdfcbank	accept	whois.nic.hdfcbank	domain not found	needle verified against both probes
helsinki	accept	whois.nic.helsinki	domain not found	needle verified against both probes
here	no-server			IANA lists no WHOIS server for this TLD
hermes	accept	whois.nic.hermes	domain not found	needle verified against both probes
hisamitsu	reject	whois.nic.gmo		identical answer for a free and a registered name
hitachi	reject	whois.nic.gmo		identical answer for a free and a registered name
hiv	accept	whois.registry.click	is available for registration	needle verified against both probes
hkt	accept	whois.nic.hkt	domain not found	needle verified against both probes
hm	reject	whois.registry.hm		free probe: whois.registry.hm: [Errno 61] Connection refused
hn	accept	whois.nic.hn	the queried object does not exist	needle verified against both probes
homedepot	accept	whois.nic.homedepot	domain not found	needle verified against both probes
homegoods	no-server			IANA lists no WHOIS server for this TLD
homes	accept	whois.nic.homes	the queried object does not exist	needle verified against both probes
homesense	no-server			IANA lists no WHOIS server for this TLD
honda	reject	whois.nic.honda		identical answer for a free and a registered name
horse	accept	whois.nic.horse	no data found	needle verified against both probes
hot	no-server			IANA lists no WHOIS server for this TLD
hotels	accept	whois.nic.hotels	no data found	needle verified against both probes
hotmail	no-server			IANA lists no WHOIS server for this TLD
hr	accept	whois.dns.hr	no entries found	needle verified against both probes
hsbc	no-server			IANA lists no WHOIS server for this TLD
ht	accept	whois.nic.ht	the queried object does not exist	needle verified against both probes
hughes	accept	whois.nic.hughes	domain not found	needle verified against both probes
hyatt	no-server			IANA lists no WHOIS server for this TLD
hyundai	reject	whois.nic.hyundai		identical answer for a free and a registered name
ibm	accept	whois.nic.ibm	no data found	needle verified against both probes
icbc	accept	whois.nic.icbc	the queried object does not exist	needle verified against both probes
ice	accept	whois.nic.ice	domain not found	needle verified against both probes
ieee	no-server			IANA lists no WHOIS server for this TLD
ifm	accept	whois.nic.ifm	the queried object does not exist	needle verified against both probes
ikano	accept	whois.nic.ikano	the queried object does not exist	needle verified against both probes
imamat	accept	whois.nic.imamat	domain not found	needle verified against both probes
imdb	no-server			IANA lists no WHOIS server for this TLD
inc	accept	whois.nic.inc	the queried object does not exist	needle verified against both probes
infiniti	reject	whois.nic.gmo		identical answer for a free and a registered name
ing	no-server			IANA lists no WHOIS server for this TLD
insurance	accept	whois.nic.insurance	no data found	needle verified against both probes
int	reject	whois.iana.org		no DNS-proven registered name found under .int
intuit	no-server			IANA lists no WHOIS server for this TLD
ipiranga	no-server			IANA lists no WHOIS server for this TLD
iq	reject	whois.cmc.iq		free probe: resolving whois.cmc.iq: [Errno 8] nodename nor servname provided, or not known
ismaili	accept	whois.nic.ismaili	domain not found	needle verified against both probes
ist	accept	whois.nic.ist	domain not found	needle verified against both probes
itau	no-server			IANA lists no WHOIS server for this TLD
itv	accept	whois.nic.itv	domain not found	needle verified against both probes
jaguar	accept	whois.nic.jaguar	domain not found	needle verified against both probes
java	accept	whois.nic.java	domain not found	needle verified against both probes
jcb	reject	whois.nic.gmo		identical answer for a free and a registered name
je	accept	whois.je	not found	needle verified against both probes
jeep	accept	whois.nic.jeep	domain not found	needle verified against both probes
jio	accept	whois.nic.jio	domain not found	needle verified against both probes
jll	accept	whois.nic.jll	domain not found	needle verified against both probes
jm	no-server			IANA lists no WHOIS server for this TLD
jmp	no-server			IANA lists no WHOIS server for this TLD
jnj	no-server			IANA lists no WHOIS server for this TLD
jo	reject	whois.nic.net.jo		free probe: whois.nic.net.jo: timed out
jobs	no-server			IANA lists no WHOIS server for this TLD
jot	no-server			IANA lists no WHOIS server for this TLD
joy	no-server			IANA lists no WHOIS server for this TLD
jpmorgan	no-server			IANA lists no WHOIS server for this TLD
jprs	accept	whois.nic.jprs	the queried object does not exist	needle verified against both probes
juniper	accept	whois.nic.juniper	domain not found	needle verified against both probes
kddi	reject	whois.nic.kddi		identical answer for a free and a registered name
kerryhotels	accept	whois.nic.kerryhotels	domain not found	needle verified against both probes
kerryproperties	accept	whois.nic.kerryproperties	domain not found	needle verified against both probes
kfh	accept	whois.nic.kfh	is available for registration	needle verified against both probes
kg	accept	whois.kg	is available for registration	needle verified against both probes
kh	no-server			IANA lists no WHOIS server for this TLD
ki	accept	whois.nic.ki	the queried object does not exist	needle verified against both probes
kia	reject	whois.nic.kia		identical answer for a free and a registered name
kids	accept	whois.nic.kids	domain not found	needle verified against both probes
kindle	no-server			IANA lists no WHOIS server for this TLD
kiwi	accept	whois.nic.kiwi	not found	needle verified against both probes
km	no-server			IANA lists no WHOIS server for this TLD
kn	accept	whois.nic.kn	the queried object does not exist	needle verified against both probes
koeln	accept	whois.ryce-rsp.com	no information was found matching that query	needle verified against both probes
komatsu	reject	whois.nic.komatsu		identical answer for a free and a registered name
kosher	accept	whois.nic.kosher	domain not found	needle verified against both probes
kp	no-server			IANA lists no WHOIS server for this TLD
kpmg	no-server			IANA lists no WHOIS server for this TLD
kpn	no-server			IANA lists no WHOIS server for this TLD
krd	accept	whois.nic.krd	no data found	needle verified against both probes
kred	no-server			IANA lists no WHOIS server for this TLD
kuokgroup	accept	whois.nic.kuokgroup	domain not found	needle verified against both probes
kw	no-server			IANA lists no WHOIS server for this TLD
ky	accept	whois.kyregistry.ky	is available for registration	needle verified against both probes
kyoto	reject	whois.nic.kyoto		identical answer for a free and a registered name
lacaixa	accept	whois.nic.lacaixa	the queried object does not exist	needle verified against both probes
lamborghini	accept	whois.nic.lamborghini	domain not found	needle verified against both probes
lamer	accept	whois.nic.lamer	domain not found	needle verified against both probes
landrover	accept	whois.nic.landrover	domain not found	needle verified against both probes
